OTU	P	RA	Group	Level	NegativeLogP
1	OTU1	0.323198644118384	1.98791882094229	Alphaproteobacteria	nosig	0.490530469844046
2	OTU2	0.798889878671616	3.56242028095294	Alphaproteobacteria	nosig	0.0975130809879868
3	OTU3	0.438528075721115	0.58867916186573	Alphaproteobacteria	nosig	0.358002596732538
4	OTU4	0.888866533804685	1.40443253448466	Alphaproteobacteria	nosig	0.0511634448606547
5	OTU5	0.943443920079153	2.98964131672401	Alphaproteobacteria	nosig	0.0252839099389147
6	OTU6	0.093278674420435	0.842914826481137	Alphaproteobacteria	nosig	1.03021763428297
7	OTU7	0.551700213644654	4.27447968198685	Alphaproteobacteria	nosig	0.258296847862677
8	OTU8	0.897798092174344	4.24630883077625	Alphaproteobacteria	nosig	0.046821321811438
9	OTU9	0.573863263742533	2.41553972201655	Alphaproteobacteria	nosig	0.241191576027667
10	OTU10	0.483783998538274	3.87977600601735	Alphaproteobacteria	nosig	0.315348500301249
11	OTU11	0.958991678082384	1.51223039849428	Alphaproteobacteria	nosig	0.0181851615244155
12	OTU12	0.480667448381428	0.374859153549187	Alphaproteobacteria	nosig	0.318155288037783
13	OTU13	0.693692103680223	2.23063896796666	Alphaproteobacteria	nosig	0.158833249060543
14	OTU14	0.594001731858589	2.33738934637513	Alphaproteobacteria	nosig	0.226212288797372
15	OTU15	0.147778448532335	1.73762513238471	Alphaproteobacteria	nosig	0.83038889723985
16	OTU16	0.904833721881732	0.966444577579387	Alphaproteobacteria	nosig	0.0434312222357301
17	OTU17	0.283783347636927	2.55963874794543	Alphaproteobacteria	nosig	0.547013092464085
18	OTU18	0.0899565568543039	0.144995601696428	Alphaproteobacteria	nosig	1.04596717582193
19	OTU19	0.361524683318567	3.87974589549704	Alphaproteobacteria	nosig	0.441862045636148
20	OTU20	0.956778466689866	2.82034214218147	Alphaproteobacteria	nosig	0.0191886075017801
21	OTU21	0.895062350260559	3.22524006407475	Alphaproteobacteria	nosig	0.0481467105713045
22	OTU22	0.70816323584877	2.3687389873201	Alphaproteobacteria	nosig	0.149866623302918
23	OTU23	0.658481473079883	1.4321578627103	Alphaproteobacteria	nosig	0.181456439764255
24	OTU24	0.994556287792511	2.33302202320192	Alphaproteobacteria	nosig	0.00237063256376242
25	OTU25	0.672920509160031	3.9740547915455	Alphaproteobacteria	nosig	0.172036235140236
26	OTU26	0.72310394475935	2.94854960283265	Alphaproteobacteria	nosig	0.140799269246727
27	OTU27	0.566862723475788	2.00405697992537	Alphaproteobacteria	nosig	0.246522100992884
28	OTU28	0.614434919424821	4.06562488072086	Alphaproteobacteria	nosig	0.211524110550492
29	OTU29	0.324701750429813	1.62688731478993	Alphaproteobacteria	nosig	0.488515370136057
30	OTU30	0.18975796494633	2.92816432418767	Alphaproteobacteria	nosig	0.721799985869155
31	OTU31	0.964873020909727	2.30467034175526	Alphaproteobacteria	nosig	0.015529836860086
32	OTU32	0.907184092863463	1.38057707657572	Alphaproteobacteria	nosig	0.0423045735770378
33	OTU33	0.706170014501549	2.79812716364395	Alphaproteobacteria	nosig	0.151090727459686
