A1	A2	A3	B1	B2	B3
ASV_1	6	9	5	1	8	6
ASV_2	4	10	8	2	1	6
ASV_3	2	2	9	2	10	1
ASV_4	2	3	7	6	6	9
ASV_5	3	7	5	5	7	8
ASV_6	1	5	6	3	5	5
ASV_7	2	4	3	7	6	9
ASV_8	8	8	10	5	5	1
ASV_9	2	4	5	8	7	3
ASV_10	5	9	3	4	7	3
ASV_11	8	3	5	6	5	3
ASV_12	4	4	3	3	3	2
ASV_13	1	8	7	8	6	8
ASV_14	3	6	4	7	7	1
ASV_15	9	4	1	9	5	4
ASV_16	5	3	2	1	8	9
ASV_17	1	4	3	2	6	3
ASV_18	10	8	9	4	6	1
ASV_19	7	8	4	7	7	7
ASV_20	2	2	8	5	6	4
ASV_21	2	7	3	4	4	3
ASV_22	4	3	10	8	7	1
ASV_23	1	7	6	7	6	8
ASV_24	10	8	8	6	6	5
ASV_25	3	8	7	1	5	10
ASV_26	4	1	9	7	1	2
ASV_27	10	7	1	2	6	1
ASV_28	10	2	8	5	5	6
ASV_29	9	8	5	3	9	4
ASV_30	9	9	4	8	7	9
ASV_31	5	10	10	3	8	3
ASV_32	1	10	1	10	7	3
ASV_33	5	1	8	6	2	6
ASV_34	3	1	1	6	7	1
ASV_35	4	5	7	10	9	3
ASV_36	5	5	8	8	10	4
ASV_37	4	5	4	7	6	1
ASV_38	8	5	10	2	5	4
ASV_39	1	5	9	6	7	3
ASV_40	5	6	1	5	1	5
ASV_41	10	7	10	4	10	5
ASV_42	6	5	9	6	5	6
ASV_43	1	10	7	7	10	4
ASV_44	1	4	5	6	3	10
ASV_45	9	1	6	6	1	4
ASV_46	7	8	6	3	3	1
ASV_47	5	4	1	3	6	3
ASV_48	9	5	3	1	5	6
ASV_49	4	10	5	7	4	5
ASV_50	8	3	5	8	8	1
ASV_51	7	10	2	6	3	5
ASV_52	6	2	9	10	7	1
ASV_53	8	3	4	8	9	2
ASV_54	7	4	8	10	9	1
ASV_55	3	8	2	2	3	2
ASV_56	9	5	7	10	8	7
ASV_57	1	5	2	6	3	3
ASV_58	3	4	6	9	5	7
ASV_59	2	5	7	10	6	6
ASV_60	7	7	7	3	6	6
ASV_61	6	4	10	8	4	5
ASV_62	3	4	10	10	9	5
ASV_63	2	5	6	4	8	6
ASV_64	4	5	8	2	4	4
ASV_65	10	6	8	6	7	1
ASV_66	2	8	2	7	2	4
ASV_67	7	8	4	3	2	9
ASV_68	5	5	7	7	2	3
ASV_69	4	10	7	7	1	8
ASV_70	4	3	9	4	4	6
ASV_71	10	3	1	5	7	3
ASV_72	1	10	2	9	9	4
ASV_73	2	9	6	9	4	8
ASV_74	5	1	3	4	2	2
ASV_75	5	9	6	8	6	9
ASV_76	1	7	4	2	1	3
ASV_77	7	7	7	8	4	8
ASV_78	2	5	3	2	3	7
ASV_79	7	5	6	3	9	6
ASV_80	4	10	2	9	10	9
ASV_81	5	1	9	9	7	9
ASV_82	4	9	1	7	6	9
ASV_83	5	4	5	10	5	7
ASV_84	9	2	4	9	9	10
ASV_85	2	7	7	1	6	1
ASV_86	4	3	6	4	5	2
ASV_87	9	9	3	4	6	8
ASV_88	9	1	3	2	3	6
ASV_89	7	5	6	3	7	8
ASV_90	6	9	1	9	7	2
ASV_91	2	1	9	4	1	8
ASV_92	1	7	10	6	2	4
ASV_93	9	4	10	5	2	2
ASV_94	10	7	5	3	2	6
ASV_95	3	6	1	6	6	9
ASV_96	8	6	10	4	2	2
