A1	A2	A3	B1	B2	B3
otu_1	3	7	10	1	9	10
otu_2	3	8	1	6	3	1
otu_3	10	5	6	8	9	7
otu_4	2	10	10	2	2	3
otu_5	6	4	4	7	9	1
otu_6	5	7	5	3	10	4
otu_7	4	9	4	7	5	1
otu_8	6	4	4	9	3	1
otu_9	9	5	8	6	9	2
otu_10	10	1	10	9	6	2
otu_11	5	2	1	7	6	5
otu_12	3	8	5	6	5	7
otu_13	9	7	1	4	4	8
otu_14	9	5	9	9	8	8
otu_15	9	5	2	8	2	2
otu_16	3	4	6	8	10	1
otu_17	8	6	4	8	1	3
otu_18	10	7	5	1	5	2
otu_19	7	3	1	10	10	1
otu_20	10	4	2	5	10	9
otu_21	9	9	8	1	10	10
otu_22	3	4	3	2	6	1
otu_23	4	6	9	10	9	4
otu_24	1	4	4	6	2	4
otu_25	7	7	7	2	4	2
otu_26	5	3	2	1	4	7
otu_27	10	8	10	8	1	8
otu_28	7	6	6	10	8	6
otu_29	9	2	1	6	2	3
otu_30	9	2	5	6	5	2
otu_31	10	6	8	7	1	2
otu_32	7	7	6	3	7	6
otu_33	5	3	1	5	5	9
otu_34	7	3	1	5	1	2
otu_35	5	8	5	8	5	8
otu_36	6	9	4	5	7	8
otu_37	9	9	8	5	6	5
otu_38	2	3	5	2	5	1
otu_39	5	2	4	2	8	2
otu_40	8	7	3	6	9	6
otu_41	2	5	1	7	3	4
otu_42	1	2	3	9	9	5
otu_43	9	10	9	9	1	2
otu_44	9	3	7	1	6	5
otu_45	6	2	2	4	7	7
otu_46	5	3	6	7	5	3
otu_47	9	6	2	8	2	1
otu_48	10	7	1	9	6	10
otu_49	4	6	9	2	9	2
otu_50	6	4	7	5	9	10
otu_51	8	1	9	9	8	1
otu_52	6	4	7	4	8	7
otu_53	6	10	6	2	7	1
otu_54	7	6	4	6	5	9
otu_55	1	3	3	10	8	3
otu_56	6	8	8	2	1	6
otu_57	2	8	8	6	7	9
otu_58	1	6	1	5	5	9
otu_59	2	4	1	3	7	7
otu_60	4	10	9	4	7	5
otu_61	5	2	1	4	3	5
otu_62	6	6	10	9	9	6
otu_63	3	10	8	9	5	1
otu_64	9	10	6	2	8	8
otu_65	4	7	9	4	6	7
otu_66	6	1	7	1	1	6
otu_67	9	8	8	5	1	3
otu_68	9	5	2	5	10	9
otu_69	7	5	9	4	3	6
otu_70	3	1	6	2	4	6
otu_71	8	1	8	3	4	1
otu_72	9	1	7	9	7	2
otu_73	3	5	9	7	10	5
otu_74	7	4	8	5	1	9
otu_75	3	6	4	4	9	7
otu_76	7	2	2	7	7	9
otu_77	6	9	5	9	8	6
otu_78	10	3	9	4	7	7
otu_79	5	3	7	4	6	3
otu_80	5	2	2	9	9	3
otu_81	8	8	9	4	9	3
otu_82	3	4	1	9	7	5
otu_83	10	8	2	6	5	5
otu_84	2	1	3	4	5	5
otu_85	10	5	10	8	8	4
otu_86	2	6	7	4	10	3
otu_87	10	2	2	7	10	6
otu_88	6	5	4	8	5	2
otu_89	4	7	10	9	7	9
otu_90	1	8	9	6	1	8
otu_91	6	5	3	4	6	7
otu_92	3	3	8	2	4	5
otu_93	8	5	7	1	3	9
otu_94	3	4	9	2	10	7
otu_95	8	6	6	5	2	6
otu_96	1	4	2	7	1	7
otu_97	7	10	7	3	6	8
otu_98	7	8	6	5	8	10
otu_99	7	7	3	7	2	4
otu_100	10	7	2	9	1	2
otu_101	6	9	6	7	3	7
otu_102	7	6	1	10	9	9
otu_103	10	5	5	4	10	7
otu_104	5	5	7	1	9	9
otu_105	6	3	9	6	1	7
otu_106	8	1	4	3	3	3
otu_107	5	10	10	5	4	7
otu_108	7	6	1	1	7	8
otu_109	4	3	8	8	2	7
otu_110	3	10	6	2	10	5
otu_111	9	7	9	6	4	2
otu_112	7	8	1	5	8	10
otu_113	6	10	8	2	9	3
otu_114	10	8	3	2	2	8
otu_115	9	4	10	10	4	9
otu_116	7	2	5	4	6	8
otu_117	2	4	10	8	7	9
otu_118	3	6	1	7	7	10
otu_119	8	7	1	5	3	8
otu_120	4	2	5	2	10	4
otu_121	7	5	10	1	2	9
otu_122	4	1	10	4	5	4
otu_123	1	2	7	4	7	7
otu_124	8	7	9	10	7	2
otu_125	4	10	4	1	6	3
otu_126	9	7	3	4	2	9
otu_127	8	10	4	6	7	3
otu_128	6	8	1	8	3	4
otu_129	4	5	7	4	5	2
otu_130	8	10	8	1	6	1
otu_131	3	3	9	1	5	2
otu_132	4	7	7	7	7	3
otu_133	4	8	3	9	10	7
otu_134	6	9	7	1	2	4
otu_135	1	8	5	5	7	2
otu_136	10	2	5	8	8	5
otu_137	4	10	4	1	9	10
otu_138	9	9	4	2	2	4
otu_139	7	10	6	9	3	10
otu_140	8	7	10	6	1	3
otu_141	5	7	2	9	6	5
otu_142	2	4	8	9	9	1
otu_143	6	2	10	1	7	9
otu_144	9	10	6	10	6	3
otu_145	8	1	5	2	3	7
otu_146	10	7	6	8	5	10
otu_147	4	1	5	3	6	2
otu_148	5	4	8	5	6	1
otu_149	7	4	1	1	8	1
otu_150	1	6	10	6	5	5
otu_151	8	4	8	1	1	5
otu_152	8	9	8	3	8	9
otu_153	10	1	7	6	3	2
otu_154	9	9	1	8	1	8
otu_155	8	8	7	4	1	1
otu_156	2	10	10	9	5	5
otu_157	5	1	8	7	1	5
otu_158	9	1	7	6	6	2
otu_159	7	10	3	7	10	5
otu_160	7	7	4	3	9	1
otu_161	10	5	3	9	7	9
otu_162	10	1	1	8	9	1
otu_163	8	8	6	10	6	3
otu_164	6	5	1	9	10	9
otu_165	7	5	8	10	6	10
otu_166	10	5	3	1	4	9
otu_167	1	1	3	2	8	6
otu_168	9	10	1	10	4	1
otu_169	3	7	1	5	10	8
otu_170	10	7	2	5	9	1
otu_171	5	4	9	10	8	5
otu_172	6	6	9	2	10	3
otu_173	9	2	1	5	2	2
otu_174	4	1	9	8	6	6
otu_175	10	2	9	5	7	8
otu_176	7	1	8	4	4	9
otu_177	9	9	8	6	2	2
otu_178	7	3	3	5	10	5
otu_179	10	4	2	9	8	7
otu_180	4	6	2	2	1	3
otu_181	8	6	2	2	6	1
otu_182	9	9	6	1	9	7
otu_183	9	9	9	10	6	9
otu_184	9	3	1	3	1	7
otu_185	5	9	8	10	3	5
otu_186	7	10	10	3	9	5
otu_187	6	8	2	8	5	2
otu_188	1	6	3	9	10	2
otu_189	10	7	1	6	10	10
otu_190	10	4	7	8	4	3
otu_191	1	8	5	4	1	7
otu_192	10	10	10	3	2	10
otu_193	1	5	5	9	2	4
otu_194	10	2	7	5	10	9
otu_195	5	6	9	9	8	10
otu_196	7	9	5	1	8	7
otu_197	5	6	2	6	7	1
otu_198	10	3	9	1	3	1
otu_199	9	8	8	8	7	4
otu_200	4	3	10	1	2	8
otu_201	6	2	10	6	1	8
otu_202	2	6	1	5	7	3
otu_203	1	8	10	10	6	1
otu_204	5	7	4	3	8	8
otu_205	9	4	7	9	4	3
otu_206	4	1	6	6	2	4
otu_207	3	10	4	3	1	4
otu_208	9	8	4	3	1	3
otu_209	1	10	1	9	4	2
otu_210	2	10	6	9	8	10
otu_211	4	2	5	8	5	9
otu_212	10	4	1	4	7	4
otu_213	1	6	8	8	1	10
otu_214	5	2	8	6	10	9
otu_215	5	1	5	9	8	6
otu_216	9	5	1	10	1	10
otu_217	8	3	4	3	2	3
otu_218	7	6	7	2	7	2
otu_219	9	3	4	9	2	2
otu_220	5	10	8	2	4	8
otu_221	2	9	10	8	6	7
otu_222	10	4	10	9	8	10
otu_223	6	10	8	1	7	10
otu_224	7	3	4	6	4	2
otu_225	9	4	3	9	3	10
otu_226	1	6	2	4	4	5
otu_227	5	6	7	10	4	1
otu_228	5	7	9	10	6	7
otu_229	8	2	1	1	5	2
otu_230	5	8	1	9	10	3
otu_231	7	4	3	8	1	3
otu_232	4	1	9	6	4	7
otu_233	2	8	9	3	6	2
otu_234	1	6	8	7	3	1
otu_235	1	2	7	4	7	7
otu_236	2	10	4	1	1	3
otu_237	1	10	5	1	2	2
otu_238	2	9	4	7	8	9
otu_239	8	9	10	2	1	9
otu_240	1	3	3	2	3	6
otu_241	3	2	6	3	1	7
otu_242	2	6	4	9	6	9
otu_243	2	9	10	6	1	8
otu_244	5	3	9	3	4	8
otu_245	9	8	6	3	3	10
otu_246	10	1	3	3	9	8
otu_247	6	2	3	6	8	3
otu_248	10	2	9	8	6	4
otu_249	10	7	4	10	7	7
otu_250	6	5	5	10	5	1
otu_251	3	6	9	3	7	10
otu_252	4	5	8	2	5	6
otu_253	3	5	8	1	1	10
otu_254	7	4	9	3	2	3
otu_255	3	4	5	4	1	7
otu_256	2	8	7	9	9	2
otu_257	7	9	5	4	1	5
otu_258	3	1	2	2	9	2
otu_259	9	10	10	3	9	1
otu_260	7	4	3	10	2	2
otu_261	9	10	2	3	8	9
otu_262	4	8	10	9	6	9
otu_263	2	2	9	8	4	10
otu_264	6	8	7	2	7	9
otu_265	10	7	7	9	6	4
otu_266	9	2	8	7	4	8
otu_267	7	5	10	2	10	3
otu_268	5	9	10	1	3	4
otu_269	1	10	4	5	2	4
otu_270	3	10	5	9	6	2
otu_271	2	1	7	4	1	2
otu_272	5	6	1	7	10	4
otu_273	1	8	5	3	3	4
otu_274	3	8	10	2	8	10
otu_275	9	2	5	3	1	2
otu_276	2	7	9	5	5	3
otu_277	6	8	1	10	3	10
otu_278	3	8	5	10	8	2
otu_279	3	10	3	3	2	5
otu_280	9	8	3	4	6	8
otu_281	2	5	1	4	8	6
otu_282	1	4	8	1	5	10
otu_283	6	10	5	10	5	9
otu_284	10	9	1	8	9	6
otu_285	8	8	7	3	7	10
otu_286	10	6	3	6	10	10
otu_287	10	8	9	10	10	5
otu_288	4	4	7	2	1	4
otu_289	6	10	9	8	3	5
otu_290	4	3	6	7	9	1
otu_291	4	5	3	6	3	9
otu_292	9	1	5	4	4	1
otu_293	8	2	9	1	3	10
otu_294	7	6	5	2	9	10
otu_295	10	3	1	8	4	2
otu_296	1	2	5	6	1	1
otu_297	2	8	6	8	10	1
otu_298	8	10	9	10	7	7
otu_299	3	1	8	1	3	7
otu_300	10	10	10	5	1	1
otu_301	7	6	1	2	10	2
otu_302	1	8	7	1	2	1
otu_303	2	5	5	3	3	5
otu_304	3	9	4	3	6	3
otu_305	3	9	3	6	8	5
otu_306	6	2	6	1	3	6
otu_307	10	8	7	8	1	5
otu_308	5	6	6	3	10	5
otu_309	4	6	6	8	6	2
otu_310	2	5	5	3	7	3
otu_311	1	2	4	3	2	6
otu_312	1	8	8	4	2	10
otu_313	5	4	2	7	9	3
otu_314	2	4	9	7	10	1
otu_315	2	4	7	8	1	2
otu_316	3	9	2	4	5	6
otu_317	5	8	7	9	4	4
otu_318	6	10	10	8	7	2
otu_319	10	4	6	3	9	1
otu_320	3	1	8	10	6	1
otu_321	3	2	6	2	8	10
otu_322	1	8	9	6	2	4
otu_323	8	6	9	5	1	8
otu_324	1	7	9	7	3	1
otu_325	4	2	5	6	9	6
otu_326	8	10	6	10	6	6
otu_327	10	4	7	10	8	5
otu_328	10	5	8	1	3	2
otu_329	8	3	9	10	4	5
otu_330	7	4	5	10	5	10
otu_331	2	3	2	5	4	9
otu_332	1	2	8	6	10	1
otu_333	4	4	9	10	6	5
otu_334	9	2	2	4	9	9
otu_335	5	1	8	6	10	7
otu_336	8	10	8	7	2	2
otu_337	2	4	10	6	8	3
otu_338	5	4	5	3	6	5
otu_339	2	10	10	9	6	6
otu_340	6	6	1	6	5	1
otu_341	10	5	7	1	8	6
