SampleID,pH,DO,ORP,Salinity,NO3-N,NO2-N,NH4-N,PO4,DOC
FW1,7.56,4.2,134,1.93,1.839,0.142,0.031,0.126,4.154
FW10,7.22,8,128,0.17,6.492,0.479,1.511,0.167,12.385
FW11,7.61,7.2,133,1.19,4.62,0.34,1.357,0.147,5.323
FW12,7.56,7.1,129,1.02,6.8,0.56,1.688,0.189,6.86
FW13,7.61,6,243,1.85,3.605,0.138,0.059,0.051,3.834
FW14,7.68,6.6,223,2.03,3.009,0.132,0.128,0.058,3.892
FW15,7.56,6.6,225,2.26,2.108,0.094,0.205,0.072,3.275
FW16,7.94,7.2,214,2.28,1.262,0.048,0.123,0.057,2.36
FW17,7.95,6.8,216,2.36,0.963,0.063,0.136,0.049,2.362
FW18,7.83,7,221,2.57,0.882,0.032,0.928,0.037,2.039
FW2,7.36,4.7,129,2.09,1.801,0.145,0.045,0.125,7.553
FW3,7.86,5.5,128,2.27,1.391,0.116,0.141,0.154,5.64
FW4,7.42,5.4,126,2.61,1.734,0.137,0.041,0.129,6.608
FW5,7.33,6.3,125,2.86,1.58,0.126,0.019,0.122,5.335
FW6,7.21,7.7,111,1.93,0.834,0.102,0.021,0.039,4.681
FW7,6.99,6.4,116,0.14,8.203,0.36,1.484,0.162,11.495
FW8,7.31,7,128,0.12,8.721,0.4,1.553,0.135,11.662
FW9,7.44,6.9,129,0.12,8.79,0.443,1.674,0.191,12.106
RE1,7.83,6.6,225,5.06,2.108,0.094,0.056,0.072,3.2754
RE10,7.86,5.6,151,12.1,0.838,0.042,0.109,0.052,3.8199632
RE11,7.1,5.5,109,14.1,0.974,0.091,0.011,0.042,4.377
RE12,7.36,6.2,127,1.9,0.923,0.039,0.163,0.066,3.386924
RE2,7.93,7.2,192,6.16,2.368,0.106,0.462,0.096,2.986327
RE3,7.8,5.9,139,10.7,1.539,0.151,0.046,0.169,3.9947
RE4,7.83,6.9,128,8.86,1.262,0.048,0.123,0.057,2.35975
RE5,7.25,4.5,120,3.9,1.452,0.13,0.021,0.12712,5.4053
RE6,7.62,6.3,138,7.9,1.076,0.046,0.135,0.062,2.7428965
RE7,7.71,5.3,116,9.9,1.386,0.135,0.313,0.059,3.6371
RE8,7.77,6.1,155,8.51,1.629,0.147,0.386,0.064,4.2368
RE9,7.67,5.8,190,13.1,1.335,0.053,0.219,0.09519,3.3841
SW1,8.21,9,236,21.8,0.239,0.02,0.038,0.052,2.455
SW10,7.87,4.5,193,16.6,1.362,0.073,0.126,0.076,2.363
SW11,7.96,6.6,202,17.1,1.412,0.076,0.137,0.081,2.168
SW12,8.07,8.9,229,17.4,0.306,0.012,0.182,0.061,2.109
SW13,7.46,7.5,173,23.1,0.825,0.04,0.114,0.058,4.357
SW14,7.63,7.6,229,23.4,0.724,0.03,0.048,0.052,3.686
SW15,8.04,7.1,212,21.2,1.312,0.06,0.109,0.064,3.133
SW16,8.05,6.7,145,20.2,1.278,0.059,0.032,0.054,2.915
SW17,8.03,6.5,155,19.4,1.494,0.063,0.013,0.046,2.672
SW18,8.02,7.8,213,14.7,0.926,0.022,0.1,0.057,2.401
SW2,7.89,5.9,118,19.6,0.683,0.066,0.152,0.07,3.66
SW3,7.86,5.6,186,16.8,0.971,0.1,0.188,0.085,3.667
SW4,7.93,6.1,109,17.2,0.974,0.091,0.011,0.042,4.377
SW5,7.89,6.1,106,14.3,0.734,0.059,0.021,0.051,3.578
SW6,7.92,6.3,110,14,0.878,0.08,0.03,0.057,4.133
SW7,7.74,6.5,207,16.9,0.703,0.047,0.112,0.073,2.694
SW8,7.72,5.7,199,16.4,0.838,0.062,0.151,0.084,2.313
SW9,7.81,4.6,201,14.8,1.167,0.069,0.682,0.495,2.55
