Salinity,Chlamydiia,Acidobacteria_Gp4,Alphaproteobacteria,Spartobacteria,Gemmatimonadetes,Epsilonproteobacteria,Betaproteobacteria,Fusobacteriia,Cytophagia,Bacilli,Acidobacteria_Gp16,Armatimonadia,Caldilineae,Deltaproteobacteria,Sphingobacteriia,Bacteroidia,Opitutae,Mollicutes,Subdivision3,Deinococci,Flavobacteriia,Acidobacteria_Gp3,Acidobacteria_Gp6
1,0.236,0.0585,16.7,0.514,0.265,3.26,26.4,0.138,2.5,0.29,0.0136,0.0507,0.00779,1.38,5.96,0.528,0.493,0.339,0.411,0.0292,8.16,0.0643,0.0195
2,0.14,0.0468,14.7,0.267,0.21,4.87,35.1,0.205,1.97,0.207,0.00585,0.0662,0.0039,1.06,4.78,0.655,0.419,0.162,0.253,0.0312,10.4,0.037,0.0195
3,0.158,0.0546,14.2,0.267,0.232,6.11,29.1,0.382,2.2,0.224,0.0039,0.0429,0.00585,1.26,5.53,1.06,0.44,0.275,0.251,0.0448,9.86,0.0507,0.0331
4,0.115,0.111,14.7,0.472,0.22,1.34,29.1,0.0682,2.87,0.263,0.00585,0.0838,0.00195,1.29,7.8,0.275,0.47,0.242,0.396,0.0312,9,0.0448,0.0312
5,0.294,0.0994,13.9,0.46,0.279,5.72,28.7,0.296,2.41,0.446,0.00195,0.0507,0.00195,1.45,5.83,0.729,0.454,0.218,0.401,0.0292,7.92,0.0585,0.039
6,0.146,0.0604,16,0.501,0.255,2.09,21.5,0.0624,1.9,0.719,0.0039,0.0331,0.00195,1.1,4.65,0.246,0.36,0.16,0.29,0.0214,7.85,0.0585,0.0175
7,0.15,0.0526,26.5,0.273,0.123,0.748,8.1,0.0409,0.629,0.302,0.00974,0.0195,0.00195,0.721,2.16,0.115,0.249,0.489,0.304,0.0273,12.2,0.0214,0.0039
8,0.0292,0.0409,27.8,0.164,0.0546,0.888,9.12,0.0429,0.479,0.123,0,0.0136,0.00195,0.828,1.95,0.17,0.267,0.323,0.0838,0.0195,15.3,0,0.0039
9,0.17,0.0546,14.4,0.863,0.345,0.331,15.5,0.0195,2.5,0.333,0.0175,0.0292,0.00974,1.72,6.49,0.0877,0.873,0.123,0.832,0.0331,5.99,0.129,0.0662
10,0.191,0.0331,24.6,0.386,0.193,0.838,11.7,0.0585,1.02,0.234,0.0117,0.0273,0,1.32,3.21,0.185,0.405,0.323,0.374,0.0273,14.6,0.0487,0.0312
11,0.181,0.0507,15.9,0.431,0.234,3.02,25.6,0.132,2.08,0.351,0.0039,0.0214,0.00195,1.29,5.75,0.588,0.495,0.353,0.417,0.0292,7.75,0.0721,0.0487
